College Name,Address,Phone#,Website,Type,Degrees,Campus Type,Campus Housing,Student Pop,StudentsToTeachers,MissionStatement,Classification,SLOs,Religious Affiliation,Credits Accepted,Faculty(full-time),Faculty(part-time),Graduate Assistants,Tuition,Books/Supplies,Room/Board,Total Expenses,Undergraduate Avg Tuition (In-State),Undergraduate Avg Tuition (Out-of-State),Graduate Avg Tuition (In-State),Graduate Avg Tuition (Out-of-State),Avg Tuition,Avg Aid(grants),Gender Demographic(Male),Gender Demographic(Female),Ethnic Demographic (American Indian or Alaska Native),Ethnic Demographic (Asian),Ethnic Demographic(Black or African American),Ethnic Demographic(Hispanic/Latino),Ethnic Demographic(Native Hawaiian or other Pacific Islander),Ethnic Demographic(White),Ethnic Demographic(Two or more races),Ethnic Demographic(Unknown),Ethnic Demographic(Non-resident alien),Avg Student Age (24 and Under),Avg Student Age(25 and Over),Avg Student Residence (In-State),Avg Student Residence(Out-of-State),Avg Student Residence(Foreign Countries),Graduate Attendance Status(Full-time),Graduate Attendance Status(Part-time),Undergraduate Education Status (Remote),Undergraduate Education Status (In-Person),Graduate Education Status (Remote),Graduate Education Status (In-Person),Application Fee,Total Applicants,Percent Admitted,Percent Admitted Enrolled,Secondary School GPA,Secondary School Rank,Secondary School Record,Completion of College-Prep Program,Recommendation,SAT/ACT,TOEFL,Students Submitting Scores (SAT),Students Submitting Scores (ACT),SAT English 25th Percentile,SAT English 75th Percentile,SAT Math 25th percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,ACT English 25th Percentile,ACT English 75th Percentile,ACT Math 25th Percentile,ACT Math 75th Percentile,First-to-Second Year Retention Rate,Graduation Rate,Transfer Rate,Graduation Rate (Male),Graduation Rate (Female),Graduation Rate by Race/Ethnicity(American Indian or Alaska Native),Graduation Rate by Race/Ethnicity(Asian),Graduation Rate by Race/Ethnicity(Black or African American),Graduation Rate by Race/Ethnicity(Hispanic/Latino),Graduation Rate by Race/Ethnicity(Native Hawaiian or other Pacific Islander),Graduation Rate by Race/Ethnicity(White),Graduation Rate by Race/Ethnicity(Two or more Races),Graduation Rate by Race/Ethnicity(Race/Ethnicity Unknown),Graduation Rate by Race/Ethnicity(Non-resident Alien),Murder/Non-negligent Manslaughter,Negligent Manslaughter,Rape,Fondling,Incest,Statutory Rape,Robbery,Aggravated Assault,Burglary,Motor Vehicle Theft,Arson,Domestic Violence,Dating Violence,Stalking,Weapons Arrests,Drug Abuse Arrests,Liquor Law Violation Arrests,Weapons Disciplinary Action,Drug Abuse Disciplinary Action,Liquor Law Violation Disciplinary Action,Programs
Cowley County Community College,"125 S 2nd St, Arkansas City, Kansas 67005",(620) 442-0430,www.cowley.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",Town: Distant,Yes,"2,407 (all undergraduate)",18 to 1,www.cowley.edu/about/mission.html,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,Distance education – undergraduate programs offered,Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",63,101,n/a,n/a,"$2,000 ","$5,550 ","$15,470 ","$3,750 ","$5,190 ",n/a,n/a,n/a,"$5,458 ",40%,60%,2%,1%,5%,12%,0%,65%,7%,1%,6%,76%,24%,70%,22%,8%,n/a,n/a,67%,33%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62%,43%,20%,38%,47%,29%,25%,14%,49%,n/a,45%,33%,29%,56%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,20,0,3,22,
Crave Beauty Academy,"3804 W Douglas, Wichita, Kansas 67203",(316) 943-5516,www.cravebeautyacademy.com/,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",City: Large,No,265 (all undergraduate),9 to 1,To enthusiastically provide an educational environment which empowers our students through optimism and teamwork to become career oriented professionals in the art of Cosmetology and related fields.,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,"Institution does not accept dual, credit for life, or AP credits",29,3,n/a,"$17,500 ","$3,527 ","$12,803 ","$41,054 ",n/a,n/a,n/a,n/a,n/a,"$3,410 ",1%,99%,1%,1%,40%,10%,0%,42%,6%,0%,0%,46%,54%,88%,13%,0%,n/a,n/a,0%,100%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,85%,74%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dodge City Community College,"2501 N 14th Ave, Dodge City, Kansas 67801-2399",(620) 225-1321,dc3.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",Town: Remote,Yes,"1,731 (all undergraduate)",17 to 1,dc3.edu/about/mission,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,"Distance education – undergraduate courses offered, programs not offered,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",44,62,n/a,n/a,"$1,600 ","$7,200 ","$15,626 ","$4,470 ","$4,830 ",n/a,n/a,n/a,"$6,111 ",48%,52%,1%,1%,8%,42%,0%,40%,2%,3%,3%,85%,15%,55%,40%,5%,n/a,n/a,51%,49%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62%,30%,26%,23%,41%,50%,40%,18%,34%,0%,30%,33%,n/a,n/a,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,36,
Donnelly College,"608 N 18th St, Kansas City, Kansas 66102",(913) 621-6000,www.donnelly.edu/,"4-year, primarily associate's, Private not-for-profit","One but less than two years certificate
,Associate's degree
,Bachelor's degree",City: Midsize,No,345 (all undergraduate),8 to 1,www.donnelly.edu/explore/mission-values,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,"Distance education – undergraduate courses offered, programs not offered,Weekend/evening college",Roman Catholic,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",16,33,n/a,"$8,706 ",$960 ,"$10,600 ","$28,126 ",n/a,n/a,n/a,n/a,n/a,"$8,705 ",31%,69%,0%,6%,35%,38%,0%,15%,4%,0%,1%,48%,52%,59%,41%,0%,n/a,n/a,8%,92%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,64%,24%,28%,21%,25%,n/a,25%,0%,33%,n/a,0%,0%,n/a,n/a,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
Emporia State University,"1 Kellogg Circle, Emporia, Kansas 66801-5415",(620) 341-1200,www.emporia.edu/,"4-year, Public","Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate
,Doctor's degree - research/scholarship",Town: Remote,Yes,"5,615 (2,948 undergraduate)",17 to 1,"Preparing students for lifelong learning, rewarding careers, and adaptive leadership. Formal education provides the basis for the continued pursuit of knowledge to enrich one’s personal and professional life, independent of time and place. Adaptive – collegial – leadership recognizes the many contributions of individuals toward society’s common interests and aspirations.",Master's Colleges & Universities: Larger Programs,"Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",227,27,93,n/a,"$1,000 ","$9,534 ","$21,413 ","$7,001 ","$14,918 ",n/a,n/a,n/a,"$5,147 ",35%,65%,0%,1%,4%,8%,0%,68%,11%,4%,4%,89%,11%,93%,7%,0%,21%,79%,49%,51%,93%,6%,$30 ,"1,419",88%,38%,Required,Recommended,Required,Recommended,Considered but not required,Recommended,Considered but not required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,74%,50%,11%,42%,54%,33%,50%,47%,35%,0%,53%,41%,80%,46%,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,2,0,5,14,
Eric Fisher Academy,"6727 W Central, Wichita, Kansas 67212",(316) 440-5555,www.ericfisheracademy.com/,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",City: Large,No,195 (all undergraduate),16 to 1,Eric Fisher Academy is dedicated to creating an elite educational experience and preparing our future professionals for greatness in a beauty-related career field.,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",10,7,n/a,"$16,600 ","$2,970 ","$9,471 ","$33,703 ",n/a,n/a,n/a,n/a,n/a,"$7,511 ",2%,98%,0%,4%,4%,16%,0%,72%,4%,0%,1%,73%,27%,97%,3%,0%,n/a,n/a,0%,100%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,93%,71%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Flint Hills Technical College,"3301 W 18th St, Emporia, Kansas 66801-5957",(620) 343-4600 x1300,www.fhtc.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",Town: Remote,No,"1,365 (all undergraduate)",14 to 1,www.fhtc.edu/about/,Associate's Colleges: High Career & Technical-High Nontraditional,"Distance education – undergraduate programs offered,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",36,37,n/a,"$6,520 ","$1,700 ","$6,300 ","$22,626 ",n/a,n/a,n/a,n/a,n/a,"$3,780 ",55%,45%,1%,1%,3%,19%,0%,72%,4%,0%,0%,91%,9%,99%,0%,0%,n/a,n/a,45%,55%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,73%,67%,4%,61%,76%,n/a,100%,0%,67%,n/a,66%,100%,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fort Hays State University,"600 Park St, Hays, Kansas 67601-4099",(785) 628-4000,www.fhsu.edu/,"4-year, Public","Associate's degree
,Bachelor's degree
,Master's degree
,Post-master's certificate
,Doctor's degree - professional practice",Town: Remote,Yes,"14,102 (11,402 undergraduate)",15 to 1,www.fhsu.edu/about/mission,Master's Colleges & Universities: Larger Programs,"Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",364,389,158,n/a,"$1,000 ","$8,414 ","$19,364 ","$5,430 ","$15,870 ",n/a,n/a,n/a,"$5,027 ",39%,61%,0%,1%,3%,7%,0%,50%,1%,36%,2%,73%,27%,83%,15%,2%,22%,78%,47%,52%,94%,6%,$30 ,"1,997",90%,53%,Recommended,Considered but not required,Recommended,Recommended,Considered but not required,Recommended,Required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,73%,50%,15%,50%,50%,0%,75%,27%,42%,n/a,53%,22%,50%,69%,0,0,1,0,0,0,0,0,2,0,0,0,2,5,0,13,3,2,5,118,
Fort Scott Community College,"2108 S Horton, Fort Scott, Kansas 66701",(620) 223-2700,www.fortscott.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",Town: Remote,Yes,"1,646 (all undergraduate)",21 to 1,www.fortscott.edu/consumerinfo#mission,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,Distance education – undergraduate programs offered,Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",38,40,n/a,n/a,"$1,200 ","$6,315 ","$14,617 ","$3,510 ","$3,510 ",n/a,n/a,n/a,"$6,123 ",48%,52%,1%,0%,11%,6%,0%,76%,5%,0%,1%,91%,9%,57%,43%,0%,n/a,n/a,41%,58%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,55%,27%,31%,26%,31%,14%,67%,7%,22%,0%,34%,24%,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,
Friends University,"2100 W. University Ave., Wichita, Kansas 67213",(316) 295-5000,www.friends.edu/,"4-year, Private not-for-profit","Bachelor's degree
,Master's degree",City: Large,Yes,"1,692 (1,190 undergraduate)",12 to 1,www.friends.edu/about/mission-and-values/,Master's Colleges & Universities: Larger Programs,"Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",70,129,0,"$30,864 ","$1,500 ","$7,494 ","$45,053 ",n/a,n/a,n/a,n/a,"$11,448 ","$18,719 ",47%,53%,3%,4%,13%,6%,0%,54%,13%,7%,0%,84%,16%,62%,37%,1%,33%,67%,50%,50%,45%,55%,n/a,"1,826",58%,27%,Required,Considered but not required,Required,Recommended,Considered but not required,Considered but not required,Recommended,5%,43%,n/a,n/a,473,538,18,23,16,22,17,23,62%,40%,n/a,31%,51%,0%,0%,29%,33%,n/a,46%,46%,10%,n/a,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,7,3,
Garden City Community College,"801 Campus Dr, Garden City, Kansas 67846-6333",(620) 276-7611 x571,www.gcccks.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",Town: Remote,Yes,"1,962 (all undergraduate)",15 to 1,Garden City Community College exists to produce positive contributors to the economic and social well-being of society.,Associate's Colleges: High Transfer-High Traditional,"Distance education – undergraduate courses offered, programs not offered",Not applicable,"Dual credit,Advanced placement (AP) credits",69,51,n/a,n/a,$600 ,"$6,826 ","$15,660 ","$3,450 ","$4,020 ",n/a,n/a,n/a,"$4,761 ",45%,55%,0%,2%,8%,49%,0%,33%,2%,2%,3%,81%,19%,96%,3%,1%,n/a,n/a,53%,47%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,58%,43%,24%,40%,47%,33%,75%,18%,43%,0%,52%,20%,33%,58%,0,0,0,1,0,0,0,0,2,0,0,3,1,2,0,0,0,0,15,32,
Grantham University,All programs offered completely via Distance education,(800) 955-2527,www.grantham.edu/,"4-year, Private for-profit","Less than one year certificate
,Associate's degree
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree",City: Small,No,"5,445 (4,498 undergraduate)",25 to 1,www.grantham.edu/about-grantham/?tab-grantham-experience,Master's Colleges & Universities: Larger Programs,"Distance education – undergraduate programs offered,Distance education – graduate programs offered",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",14,245,0,"$8,280 ",n/a,"$6,968 ","$15,648 ",n/a,n/a,n/a,n/a,"$4,200 ","$5,410 ",45%,55%,1%,1%,33%,10%,0%,42%,5%,8%,0%,13%,87%,3%,96%,0%,67%,33%,100%,0%,100%,0%,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,29%,28%,n/a,30%,26%,50%,0%,22%,32%,50%,42%,41%,25%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Alice Lloyd College,"100 Purpose Rd, Pippa Passes, Kentucky 41844",(606) 368-6000,www.alc.edu/,"4-year, Private not-for-profit",Bachelor's degree,Rural: Remote,Yes,613 (all undergraduate),21 to 1,"The mission of Alice Lloyd College is to educate mountain people for positions of leadership and service to the mountains by: *Making an Alice Lloyd College education available to qualified mountain students regardless of their financial situation. *Offering a high quality academic program, emphasizing the liberal arts. *Promoting the work ethic through a self-help, student work program in which all full-time students participate. *Providing an atmosphere in which Christian values are maintained, encouraging high personal standards and the development of character. *Serving the community and region through appropriate outreach programs that utilize mountain people helping mountain people. *Assisting deserving students in obtaining advanced study beyond their program at Alice Lloyd. *Producing leaders for Appalachia who possess high moral and ethical values, an attitude of self-reliance, a sense of purpose, and a spirit of service to others.",Baccalaureate Colleges: Diverse Fields,"Teacher certification,Study abroad",Not applicable,"Dual credit,Advanced placement (AP) credits",29,12,n/a,"$14,230 ","$1,400 ","$7,390 ","$28,120 ",n/a,n/a,n/a,n/a,n/a,"$11,195 ",50%,50%,0%,0%,3%,1%,0%,93%,0%,1%,1%,98%,2%,75%,25%,0%,n/a,n/a,0%,100%,n/a,n/a,n/a,"2,119",36%,27%,Required,Recommended,Required,Recommended,Considered but not required,Considered but not required,Required,6%,82%,400,610,360,530,17,22,15,22,16,22,56%,29%,38%,29%,30%,n/a,n/a,0%,n/a,0%,30%,n/a,50%,50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,
Allure Beauty College,"74 Parkway Plaza Loop, Whitesburg, Kentucky 41858",(606) 633-8784,www.allurebeautycollege.com/,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",Rural: Remote,No,24 (all undergraduate),10 to 1,The Primary purpose of Jenny Lea Academy of Cosmetology is to provide sound academic instructions in the arts of science of Cosmetology so that each student may become a successful individual in the field of cosmetology. To train professional Cosmetologist (and related fields) is our prime objective.,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",2,0,n/a,"$10,360 ","$1,200 ","$12,202 ","$28,707 ",n/a,n/a,n/a,n/a,n/a,"$5,259 ",0%,100%,0%,0%,0%,0%,0%,100%,0%,0%,0%,75%,25%,86%,14%,0%,n/a,n/a,0%,100%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,43%,62%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
American College of Barbering,"11320 North Preston Highway, Louisville, Kentucky 40229-2862",(502) 968-4858,www.americancollegeofbarbering.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,65 (all undergraduate),20 to 1,"American College of Barbering is excited to bring you a learning experience that is unparalleled in the greater Louisville area. Our mission is to provide the highest quality of education and training to help meet the needs of our community while enabling students to achieve personal and professional goals and ultimately find gainful employment in the Barbering field. The school keeps a professional atmosphere in which an experienced and dedicated staff encourages students' personal and practical skills. The School does not use erroneous, deceptive, or misleading practices.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",4,0,n/a,"$15,750 ","$2,050 ","$18,238 ","$48,001 ",n/a,n/a,n/a,n/a,n/a,"$3,019 ",77%,23%,0%,2%,40%,3%,0%,54%,0%,2%,0%,28%,72%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,96%,93%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
American National University-Pikeville,"50 National College Boulevard, Pikeville, Kentucky 41501-1520",(859) 253-0621,www.an.edu/locations/,"4-year, primarily associate's, Private for-profit","Less than one year certificate
,One but less than two years certificate
,Associate's degree
,Bachelor's degree
,Master's degree",Rural: Fringe,No,242 (210 undergraduate),14 to 1,www.an.edu/about/mission/,Special Focus Four-Year: Other Health Professions Schools,"Distance education – undergraduate programs offered,Distance education – graduate programs offered,Weekend/evening college",Not applicable,"Credit for life experiences,Advanced placement (AP) credits",8,0,0,"$10,354 ",$309 ,"$5,344 ","$21,562 ",n/a,n/a,n/a,n/a,"$10,944 ","$9,027 ",7%,93%,0%,0%,14%,0%,0%,61%,3%,21%,0%,15%,85%,100%,0%,0%,69%,31%,100%,0%,100%,0%,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33%,n/a,40%,31%,n/a,n/a,20%,n/a,n/a,36%,n/a,40%,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Appalachian Beauty School,"25429 US HWY 119N, Belfry, Kentucky 41514",(606) 519-3610,appalachianbeautyschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,51 (all undergraduate),20 to 1,"Appalachian Beauty School’s mission is to prepare students to successfully pass written and practical state board exam, obtain licensure and become assets to their communities by means of gainful employment. We strive to help each student develop their own artistic potential as well as instilling professionalism, ethical business practices, and excellent communication skills and customer service.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",3,0,n/a,"$10,525 ",$500 ,"$17,565 ","$40,035 ",n/a,n/a,n/a,n/a,n/a,"$4,628 ",4%,96%,0%,0%,0%,0%,0%,98%,2%,0%,0%,59%,41%,34%,66%,0%,n/a,n/a,0%,100%,n/a,n/a," $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,66%,67%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Asbury Theological Seminary,"204 N Lexington Ave, Wilmore, Kentucky 40390-1199",(859) 858-3581,www.asburyseminary.edu/,"4-year, Private not-for-profit","Postbaccalaureate certificate
,Master's degree
,Doctor's degree - research/scholarship",Town: Fringe,Yes,"1,725 (0 undergraduate)",n/a,www.asburyseminary.edu/about/our-theological-orientation/our-mission/,Special Focus Four-Year: Faith-Related Institutions,"Distance education – graduate courses offered, programs not offered,Weekend/evening college",Interdenominational,Advanced placement (AP) credits,45,0,n/a,"$16,440 ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59%,41%,1%,2%,10%,6%,0%,61%,3%,5%,12%,35%,26%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,61%,39%,n/a,"This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
